date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-01-25,154.2221,156.8506,153.0715,156.4836,33547893,33547893,5.0191,3.314,155.5726,"Jan 25, 19",-0.15452019800888908
2019-01-28,154.5296,155.0652,152.4168,155.0354,26192058,26192058,-1.4482,-0.925,154.027,"Jan 28, 19",-0.16234481253235042
2019-01-29,154.9858,156.8506,152.8632,153.4285,41587239,41587239,-1.6069,-1.036,154.5199,"Jan 29, 19",-0.17102688205158129
2019-01-30,161.9292,164.8057,158.9336,163.913,61109780,61109780,10.4845,6.833,161.9055,"Jan 30, 19",-0.1143792015024643
2019-01-31,164.7661,167.6327,163.2286,165.0934,40739649,40739649,1.1804,0.72,165.762,"Jan 31, 19",-0.10800150851565739
2019-02-01,165.6092,167.6128,164.5875,165.1728,32668138,32668138,0.079352,0.048,165.8171,"Feb 1, 19",-0.1075725108681206
2019-02-04,166.0556,170.2662,165.9266,169.8645,31495582,31495582,4.6917,2.84,169.0159,"Feb 4, 19",-0.08222328841284929
2019-02-05,171.4615,173.6635,170.9557,172.7708,36101628,36101628,2.9063,1.711,172.5976,"Feb 5, 19",-0.06652056973481033
2019-02-06,173.237,174.1495,171.4546,172.8303,28239591,28239591,0.059515,0.034,172.8522,"Feb 6, 19",-0.06619909164880987
2019-02-07,171.0052,172.5327,168.9618,169.557,31741690,31741690,-3.2733,-1.894,170.2548,"Feb 7, 19",-0.08388470877327217
2019-02-08,168.3418,170.0053,167.7739,169.7563,23819966,23819966,0.199317,0.118,169.1356,"Feb 8, 19",-0.08280789225999637
2019-02-11,170.3939,170.5532,168.6008,168.7801,20993425,20993425,-0.97624,-0.575,169.2945,"Feb 11, 19",-0.08808229406762175
2019-02-12,169.4475,170.344,169.049,170.2345,22283523,22283523,1.4544,0.862,169.7196,"Feb 12, 19",-0.0802241809872998
2019-02-13,170.7325,171.8184,169.2682,169.5272,22490233,22490233,-0.707276,-0.415,170.3478,"Feb 13, 19",-0.0840457179659245
2019-02-14,169.059,170.6045,168.7303,170.1448,21835747,21835747,0.617621,0.364,169.9981,"Feb 14, 19",-0.08070882946316947
2019-02-15,170.5931,171.0414,169.0988,169.7663,24626814,24626814,-0.378542,-0.222,169.8308,"Feb 15, 19",-0.08275386232957616
2019-02-19,169.059,170.7824,168.8398,170.2743,18972826,18972826,0.508044,0.299,169.8659,"Feb 19, 19",-0.08000914186422711
2019-02-20,170.5333,172.6551,170.3341,171.3701,26114362,26114362,1.0958,0.644,171.5523,"Feb 20, 19",-0.07408854208877552
2019-02-21,171.141,171.7088,169.6467,170.4038,17249670,17249670,-0.966279,-0.564,170.4596,"Feb 21, 19",-0.07930945426528492
